user,content,collect,forward,comment,like,userUrl
10月03日 08:27,·SodaVendingMachine·,"#杨洋在一起# @杨洋 #杨洋乐彬#
杨洋：第一次尝试在影视剧中，能够这么真实地把角色带给大家，也希望大家能够看到乐彬这样一个有责任心，有使命感，有大爱的人！
作者：杨洋
我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”",收藏,转发,评论,0,https://weibo.com/1743575517?refer_flag=1001030103_
10月03日 07:24 转赞人数超过80,杨洋宣传组,"#在一起细节#
耀客传媒倒是很会拍“家”群像",收藏,转发 17,评论 5,86,https://weibo.com/5506614901?refer_flag=1001030103_
10月02日 16:04,pipibebe,我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/6169440576?refer_flag=1001030103_
10月01日 21:44,李李的放大镜,I shared @耀客传媒's Topic Article O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/2167644005?refer_flag=1001030103_
10月01日 21:38,OFDMHDYT,#宸汐缘入围艾美奖#@华策影视 华策影视、正午阳光、耀客传媒目前国内三足鼎立电视剧制作公司。,收藏,转发,评论,0,https://weibo.com/6220912113?refer_flag=1001030103_
10月01日 17:14,星辰大海powerful,#在一起之同行# #杨洋在一起# 致敬所有奋战在疫情一线的医护工作者@杨洋 @耀客传媒,收藏,转发,评论,1,https://weibo.com/5506656985?refer_flag=1001030103_
09月30日 15:09,懒惰D玉翰林,这个里面有错误，是卫生健康委@耀客传媒 2温州,收藏,转发,评论 1,0,https://weibo.com/6380290517?refer_flag=1001030103_
09月30日 09:04,什么时候才能更好呢,【敢爱】上海耀客文化传媒有限公司制作的都市爱情故事，有王迎导演、任重、张萌、游泳曾醍醐、贾景晖、王倩一、张嘉译等出演。描写了现代青年男女浪漫现实残酷的创业和恋爱的故事。#十三个原因# 2南京·天山盛筵,收藏,转发,评论,0,https://weibo.com/5847346790?refer_flag=1001030103_
09月29日 21:27,回星火丶结实,"还是要说一句，
请上海广播电视局 @耀客传媒 @SMG尚世影业 @电视剧在一起 @靳东工作室 发律师函呢！",收藏,转发,评论,0,https://weibo.com/6203086828?refer_flag=1001030103_
09月29日 19:59,黄德毅全国后援会,【《宝贝》播出渐入佳境 孟丽定义90后辣妈】由耀客传媒出品的电视剧《宝贝》二轮正在河北卫视黄金档播出。该剧由著名编剧六六潜心创作，讲述了70、80、90后三对夫妻的生活理念和人生追求，围绕着“育儿”话题展开了一段快意生活。 2泰州·前介盛圩,收藏,转发,评论 1,4,https://weibo.com/5346295842?refer_flag=1001030103_
09月29日 18:43 转赞人数超过300,瓜酱每日爆料,"黄德毅#在一起之生命的拐点#
耀客传媒 | 黄德毅《在一起》
《生命的拐点》饰贾长安
在生命的拐点💪🏻为你负重前行
19:30🔒东方&浙江&江苏&广东
22:00🔒湖南&北京",收藏,转发 73,评论 108,355,https://weibo.com/6352765838?refer_flag=1001030103_
0,江南文体频道,正午阳光、华策影视、柠萌影业、慈文传媒、耀客传媒、新丽传媒六大制片公司哪家公司作品生命力最强？,收藏,转发,评论,1,https://weibo.com/3171766712?refer_flag=1001030103_
0,明星上头条star,"【《在一起》今晚开播 张嘉益演绎渐冻症院长张定宇】

在国家广电总局全程组织指导下，在国家卫健委和上海市委宣传部的大力支持下，由上海广播电视台、上海耀客传媒股份有限公司、上海尚世影业有限公司共同出品的“时代报告剧”《在一起》将于今晚（9月29日）在东方卫视东方剧场播出。

展开全文c",收藏,转发 1,评论 1,2,https://weibo.com/6459999963?refer_flag=1001030103_
09月28日 23:41,影视猩扒客,,收藏,转发,评论,0,https://weibo.com/6355739175?refer_flag=1001030103_
0,斛孟乐_258,时代报告剧《在一起》今日开播 孙佳雨走心演绎护士蔡雨萱 由上海广播电视台、耀客传媒和上海尚世影业联合出品，张黎、沈严、曹盾、汪俊、姚晓峰等联合执导，六六、秦文、高璇、任宝茹、冯骥等编剧的抗疫题材时代报告剧《在一起》于29日起，在东方卫视、浙江卫视、江苏卫视、广东卫视黄金档播出，并在腾 展开全文c,收藏,转发,评论,0,https://weibo.com/6655430862?refer_flag=1001030103_
09月26日 16:05,李李的放大镜,,收藏,转发,评论 1,0,https://weibo.com/2167644005?refer_flag=1001030103_
09月26日 07:39 转赞人数超过40,不做饭泡粥,"耀客传媒 | 李百惠《在一起》开播晚会
《我叫大连》饰🥽吴楠
勇敢拼搏一线❤️致敬平凡英雄
九大平台联动📺即将播出",收藏,转发 5,评论 12,43,https://weibo.com/6100411626?refer_flag=1001030103_
0,我想喝可乐hhhhh,【三个奶爸】由上海耀客传媒、华谊兄弟、博方文化、东阳荆棘鸟联合出品的都市亲子合家欢剧，由刘恺执导，李晨、张歆艺、陈赫、张萌、田雷、李倩主演。该剧讲述了不同年龄、不同阅历、性格迥异的新一代都市青年男女，因为一个突如其来的婴儿而使生活逐步改变，不断成长与变化的逗趣故事。 展开全文c,收藏,转发,评论,0,https://weibo.com/6389558159?refer_flag=1001030103_
0,啵宝麒麟,杨洋[新闻]201003 杨洋《在一起》专访公开 素颜出镜，拼的是“眼技” 近日，耀客传媒公众号更新一则杨洋专访，杨洋表示一直以来都想尝试医生这个角色，但没想到第一次演医生是在这么特殊的情况下。拍摄中，很多真实的场景让他不由自主热泪盈眶；为了演好医生，杨洋 @爱豆APP 展开全文c,收藏,转发,评论,1,https://weibo.com/5560471247?refer_flag=1001030103_
10月03日 17:06 转赞人数超过10,LL--猪猪,,收藏,转发,评论 4,16,https://weibo.com/2706311785?refer_flag=1001030103_
10月03日 08:27,·SodaVendingMachine·,"#杨洋在一起# @杨洋 #杨洋乐彬#
杨洋：第一次尝试在影视剧中，能够这么真实地把角色带给大家，也希望大家能够看到乐彬这样一个有责任心，有使命感，有大爱的人！
作者：杨洋
我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”",收藏,转发,评论,0,https://weibo.com/1743575517?refer_flag=1001030103_
10月03日 07:24 转赞人数超过80,杨洋宣传组,"#在一起细节#
耀客传媒倒是很会拍“家”群像",收藏,转发 17,评论 5,86,https://weibo.com/5506614901?refer_flag=1001030103_
10月02日 16:04,pipibebe,我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/6169440576?refer_flag=1001030103_
10月01日 21:44,李李的放大镜,I shared @耀客传媒's Topic Article O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/2167644005?refer_flag=1001030103_
10月01日 21:38,OFDMHDYT,#宸汐缘入围艾美奖#@华策影视 华策影视、正午阳光、耀客传媒目前国内三足鼎立电视剧制作公司。,收藏,转发,评论,0,https://weibo.com/6220912113?refer_flag=1001030103_
10月01日 17:14,星辰大海powerful,#在一起之同行# #杨洋在一起# 致敬所有奋战在疫情一线的医护工作者@杨洋 @耀客传媒,收藏,转发,评论,1,https://weibo.com/5506656985?refer_flag=1001030103_
09月30日 15:09,懒惰D玉翰林,这个里面有错误，是卫生健康委@耀客传媒 2温州,收藏,转发,评论 1,0,https://weibo.com/6380290517?refer_flag=1001030103_
09月30日 09:04,什么时候才能更好呢,【敢爱】上海耀客文化传媒有限公司制作的都市爱情故事，有王迎导演、任重、张萌、游泳曾醍醐、贾景晖、王倩一、张嘉译等出演。描写了现代青年男女浪漫现实残酷的创业和恋爱的故事。#十三个原因# 2南京·天山盛筵,收藏,转发,评论,0,https://weibo.com/5847346790?refer_flag=1001030103_
09月29日 21:27,回星火丶结实,"还是要说一句，
请上海广播电视局 @耀客传媒 @SMG尚世影业 @电视剧在一起 @靳东工作室 发律师函呢！",收藏,转发,评论,0,https://weibo.com/6203086828?refer_flag=1001030103_
09月29日 19:59,黄德毅全国后援会,【《宝贝》播出渐入佳境 孟丽定义90后辣妈】由耀客传媒出品的电视剧《宝贝》二轮正在河北卫视黄金档播出。该剧由著名编剧六六潜心创作，讲述了70、80、90后三对夫妻的生活理念和人生追求，围绕着“育儿”话题展开了一段快意生活。 2泰州·前介盛圩,收藏,转发,评论 1,4,https://weibo.com/5346295842?refer_flag=1001030103_
09月29日 18:43 转赞人数超过300,瓜酱每日爆料,"黄德毅#在一起之生命的拐点#
耀客传媒 | 黄德毅《在一起》
《生命的拐点》饰贾长安
在生命的拐点💪🏻为你负重前行
19:30🔒东方&浙江&江苏&广东
22:00🔒湖南&北京",收藏,转发 73,评论 108,355,https://weibo.com/6352765838?refer_flag=1001030103_
0,江南文体频道,正午阳光、华策影视、柠萌影业、慈文传媒、耀客传媒、新丽传媒六大制片公司哪家公司作品生命力最强？,收藏,转发,评论,1,https://weibo.com/3171766712?refer_flag=1001030103_
0,明星上头条star,"【《在一起》今晚开播 张嘉益演绎渐冻症院长张定宇】

在国家广电总局全程组织指导下，在国家卫健委和上海市委宣传部的大力支持下，由上海广播电视台、上海耀客传媒股份有限公司、上海尚世影业有限公司共同出品的“时代报告剧”《在一起》将于今晚（9月29日）在东方卫视东方剧场播出。

展开全文c",收藏,转发 1,评论 1,2,https://weibo.com/6459999963?refer_flag=1001030103_
09月28日 23:41,影视猩扒客,,收藏,转发,评论,0,https://weibo.com/6355739175?refer_flag=1001030103_
0,斛孟乐_258,时代报告剧《在一起》今日开播 孙佳雨走心演绎护士蔡雨萱 由上海广播电视台、耀客传媒和上海尚世影业联合出品，张黎、沈严、曹盾、汪俊、姚晓峰等联合执导，六六、秦文、高璇、任宝茹、冯骥等编剧的抗疫题材时代报告剧《在一起》于29日起，在东方卫视、浙江卫视、江苏卫视、广东卫视黄金档播出，并在腾 展开全文c,收藏,转发,评论,0,https://weibo.com/6655430862?refer_flag=1001030103_
09月26日 16:05,李李的放大镜,,收藏,转发,评论 1,0,https://weibo.com/2167644005?refer_flag=1001030103_
09月26日 07:39 转赞人数超过40,不做饭泡粥,"耀客传媒 | 李百惠《在一起》开播晚会
《我叫大连》饰🥽吴楠
勇敢拼搏一线❤️致敬平凡英雄
九大平台联动📺即将播出",收藏,转发 5,评论 12,43,https://weibo.com/6100411626?refer_flag=1001030103_
0,我想喝可乐hhhhh,【三个奶爸】由上海耀客传媒、华谊兄弟、博方文化、东阳荆棘鸟联合出品的都市亲子合家欢剧，由刘恺执导，李晨、张歆艺、陈赫、张萌、田雷、李倩主演。该剧讲述了不同年龄、不同阅历、性格迥异的新一代都市青年男女，因为一个突如其来的婴儿而使生活逐步改变，不断成长与变化的逗趣故事。 展开全文c,收藏,转发,评论,0,https://weibo.com/6389558159?refer_flag=1001030103_
0,啵宝麒麟,杨洋[新闻]201003 杨洋《在一起》专访公开 素颜出镜，拼的是“眼技” 近日，耀客传媒公众号更新一则杨洋专访，杨洋表示一直以来都想尝试医生这个角色，但没想到第一次演医生是在这么特殊的情况下。拍摄中，很多真实的场景让他不由自主热泪盈眶；为了演好医生，杨洋 @爱豆APP 展开全文c,收藏,转发,评论,1,https://weibo.com/5560471247?refer_flag=1001030103_
10月03日 17:06 转赞人数超过10,LL--猪猪,,收藏,转发,评论 4,16,https://weibo.com/2706311785?refer_flag=1001030103_
10月03日 08:27,·SodaVendingMachine·,"#杨洋在一起# @杨洋 #杨洋乐彬#
杨洋：第一次尝试在影视剧中，能够这么真实地把角色带给大家，也希望大家能够看到乐彬这样一个有责任心，有使命感，有大爱的人！
作者：杨洋
我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”",收藏,转发,评论,0,https://weibo.com/1743575517?refer_flag=1001030103_
10月03日 07:24 转赞人数超过80,杨洋宣传组,"#在一起细节#
耀客传媒倒是很会拍“家”群像",收藏,转发 17,评论 5,86,https://weibo.com/5506614901?refer_flag=1001030103_
10月02日 16:04,pipibebe,我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/6169440576?refer_flag=1001030103_
10月01日 21:44,李李的放大镜,I shared @耀客传媒's Topic Article O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/2167644005?refer_flag=1001030103_
10月01日 21:38,OFDMHDYT,#宸汐缘入围艾美奖#@华策影视 华策影视、正午阳光、耀客传媒目前国内三足鼎立电视剧制作公司。,收藏,转发,评论,0,https://weibo.com/6220912113?refer_flag=1001030103_
10月01日 17:14,星辰大海powerful,#在一起之同行# #杨洋在一起# 致敬所有奋战在疫情一线的医护工作者@杨洋 @耀客传媒,收藏,转发,评论,1,https://weibo.com/5506656985?refer_flag=1001030103_
09月30日 15:09,懒惰D玉翰林,这个里面有错误，是卫生健康委@耀客传媒 2温州,收藏,转发,评论 1,0,https://weibo.com/6380290517?refer_flag=1001030103_
09月30日 09:04,什么时候才能更好呢,【敢爱】上海耀客文化传媒有限公司制作的都市爱情故事，有王迎导演、任重、张萌、游泳曾醍醐、贾景晖、王倩一、张嘉译等出演。描写了现代青年男女浪漫现实残酷的创业和恋爱的故事。#十三个原因# 2南京·天山盛筵,收藏,转发,评论,0,https://weibo.com/5847346790?refer_flag=1001030103_
09月29日 21:27,回星火丶结实,"还是要说一句，
请上海广播电视局 @耀客传媒 @SMG尚世影业 @电视剧在一起 @靳东工作室 发律师函呢！",收藏,转发,评论,0,https://weibo.com/6203086828?refer_flag=1001030103_
09月29日 19:59,黄德毅全国后援会,【《宝贝》播出渐入佳境 孟丽定义90后辣妈】由耀客传媒出品的电视剧《宝贝》二轮正在河北卫视黄金档播出。该剧由著名编剧六六潜心创作，讲述了70、80、90后三对夫妻的生活理念和人生追求，围绕着“育儿”话题展开了一段快意生活。 2泰州·前介盛圩,收藏,转发,评论 1,4,https://weibo.com/5346295842?refer_flag=1001030103_
09月29日 18:43 转赞人数超过300,瓜酱每日爆料,"黄德毅#在一起之生命的拐点#
耀客传媒 | 黄德毅《在一起》
《生命的拐点》饰贾长安
在生命的拐点💪🏻为你负重前行
19:30🔒东方&浙江&江苏&广东
22:00🔒湖南&北京",收藏,转发 73,评论 108,355,https://weibo.com/6352765838?refer_flag=1001030103_
0,江南文体频道,正午阳光、华策影视、柠萌影业、慈文传媒、耀客传媒、新丽传媒六大制片公司哪家公司作品生命力最强？,收藏,转发,评论,1,https://weibo.com/3171766712?refer_flag=1001030103_
0,明星上头条star,"【《在一起》今晚开播 张嘉益演绎渐冻症院长张定宇】

在国家广电总局全程组织指导下，在国家卫健委和上海市委宣传部的大力支持下，由上海广播电视台、上海耀客传媒股份有限公司、上海尚世影业有限公司共同出品的“时代报告剧”《在一起》将于今晚（9月29日）在东方卫视东方剧场播出。

展开全文c",收藏,转发 1,评论 1,2,https://weibo.com/6459999963?refer_flag=1001030103_
09月28日 23:41,影视猩扒客,,收藏,转发,评论,0,https://weibo.com/6355739175?refer_flag=1001030103_
0,斛孟乐_258,时代报告剧《在一起》今日开播 孙佳雨走心演绎护士蔡雨萱 由上海广播电视台、耀客传媒和上海尚世影业联合出品，张黎、沈严、曹盾、汪俊、姚晓峰等联合执导，六六、秦文、高璇、任宝茹、冯骥等编剧的抗疫题材时代报告剧《在一起》于29日起，在东方卫视、浙江卫视、江苏卫视、广东卫视黄金档播出，并在腾 展开全文c,收藏,转发,评论,0,https://weibo.com/6655430862?refer_flag=1001030103_
09月26日 16:05,李李的放大镜,,收藏,转发,评论 1,0,https://weibo.com/2167644005?refer_flag=1001030103_
09月26日 07:39 转赞人数超过40,不做饭泡粥,"耀客传媒 | 李百惠《在一起》开播晚会
《我叫大连》饰🥽吴楠
勇敢拼搏一线❤️致敬平凡英雄
九大平台联动📺即将播出",收藏,转发 5,评论 12,43,https://weibo.com/6100411626?refer_flag=1001030103_
0,我想喝可乐hhhhh,【三个奶爸】由上海耀客传媒、华谊兄弟、博方文化、东阳荆棘鸟联合出品的都市亲子合家欢剧，由刘恺执导，李晨、张歆艺、陈赫、张萌、田雷、李倩主演。该剧讲述了不同年龄、不同阅历、性格迥异的新一代都市青年男女，因为一个突如其来的婴儿而使生活逐步改变，不断成长与变化的逗趣故事。 展开全文c,收藏,转发,评论,0,https://weibo.com/6389558159?refer_flag=1001030103_
0,啵宝麒麟,杨洋[新闻]201003 杨洋《在一起》专访公开 素颜出镜，拼的是“眼技” 近日，耀客传媒公众号更新一则杨洋专访，杨洋表示一直以来都想尝试医生这个角色，但没想到第一次演医生是在这么特殊的情况下。拍摄中，很多真实的场景让他不由自主热泪盈眶；为了演好医生，杨洋 @爱豆APP 展开全文c,收藏,转发,评论,1,https://weibo.com/5560471247?refer_flag=1001030103_
10月03日 17:06 转赞人数超过10,LL--猪猪,,收藏,转发,评论 4,16,https://weibo.com/2706311785?refer_flag=1001030103_
10月03日 08:27,·SodaVendingMachine·,"#杨洋在一起# @杨洋 #杨洋乐彬#
杨洋：第一次尝试在影视剧中，能够这么真实地把角色带给大家，也希望大家能够看到乐彬这样一个有责任心，有使命感，有大爱的人！
作者：杨洋
我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”",收藏,转发,评论,0,https://weibo.com/1743575517?refer_flag=1001030103_
10月03日 07:24 转赞人数超过80,杨洋宣传组,"#在一起细节#
耀客传媒倒是很会拍“家”群像",收藏,转发 17,评论 5,86,https://weibo.com/5506614901?refer_flag=1001030103_
10月02日 16:04,pipibebe,我分享了 @耀客传媒 的头条文章 O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/6169440576?refer_flag=1001030103_
10月01日 21:44,李李的放大镜,I shared @耀客传媒's Topic Article O杨洋：素颜出镜，这部戏拼的是“眼技”,收藏,转发,评论,0,https://weibo.com/2167644005?refer_flag=1001030103_
10月01日 21:38,OFDMHDYT,#宸汐缘入围艾美奖#@华策影视 华策影视、正午阳光、耀客传媒目前国内三足鼎立电视剧制作公司。,收藏,转发,评论,0,https://weibo.com/6220912113?refer_flag=1001030103_
10月01日 17:14,星辰大海powerful,#在一起之同行# #杨洋在一起# 致敬所有奋战在疫情一线的医护工作者@杨洋 @耀客传媒,收藏,转发,评论,1,https://weibo.com/5506656985?refer_flag=1001030103_
09月30日 15:09,懒惰D玉翰林,这个里面有错误，是卫生健康委@耀客传媒 2温州,收藏,转发,评论 1,0,https://weibo.com/6380290517?refer_flag=1001030103_
09月30日 09:04,什么时候才能更好呢,【敢爱】上海耀客文化传媒有限公司制作的都市爱情故事，有王迎导演、任重、张萌、游泳曾醍醐、贾景晖、王倩一、张嘉译等出演。描写了现代青年男女浪漫现实残酷的创业和恋爱的故事。#十三个原因# 2南京·天山盛筵,收藏,转发,评论,0,https://weibo.com/5847346790?refer_flag=1001030103_
